Ticker,Category Name,Family,Legal Type,Annual Report Expense Ratio,Annual Holdings Turnover,Total Net Assets,Cash Position,Stock Position,Bond Position,Preferred Position,Convertible Position,Other Position,Price/Earnings,Price/Book,Price/Sales,Price/Cashflow,Median Market Cap,3 Year Earnings Growth,Duration,Maturity,Credit Quality,Bb,Aa,Aaa,A,Other,B,Bbb,Below B,Us Government,Realestate,Consumer Cyclical,Basic Materials,Consumer Defensive,Technology,Communication Services,Financial Services,Utilities,Industrials,Energy,Healthcare,Top Position 1,Top Position 2,Top Position 3,Top Position 4,Top Position 5,Top Position 6,Top Position 7,Top Position 8,Top Position 9,Top Position 10,Weight of Top Position 1,Weight of Top Position 2,Weight of Top Position 3,Weight of Top Position 4,Weight of Top Position 5,Weight of Top Position 6,Weight of Top Position 7,Weight of Top Position 8,Weight of Top Position 9,Weight of Top Position 10,Ticker
ACVF,Large Blend,ACV ETFs,Exchange Traded Fund,0.0075,0.12979999,181240.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0397,0.23061,0.38198,0.05842,,,,,,,,,,,,,,0.0,0.0174,0.104899995,0.0217,0.0712,0.349,0.0542,0.124,0.0212,0.1086,0.0305,0.097200006,NVDA,MSFT,AVGO,BRK-B,MA,WMT,CSCO,HD,PG,TSLA,6.63,6.07,2.43,2.01,1.93,1.87,1.71,1.61,1.57,1.41,ACVF
ACVT,Convertibles,Advent Funds,Exchange Traded Fund,0.0064999997,0.0,0.0,0.0095999995,0.0,0.0297,0.0888,0.8719,0.0,0.0,0.0,0.0,0.0,,,1.89,,,,,,,,,,,0.0,,,,,,,,,,,,BACPL,WFCPL,,,,,,,,,3.99,3.91,,,,,,,,,ACVT
ACWI,Global Large-Stock Blend,iShares,Exchange Traded Fund,0.0032,0.04,173411.62,0.0005,0.9987,0.0,0.0001,0.0,0.0007,0.04711,0.32819,0.4198,0.06987,,,,,,,,,,,,,,0.0,0.020499999,0.1067,0.0335,0.0617,0.2583,0.0863,0.1748,0.026099999,0.1046,0.0358,0.0917,NVDA,MSFT,AAPL,AMZN,META,AVGO,TSLA,GOOGL,GOOG,2330.TW,4.08,4.02,3.74,2.43,1.76,1.34,1.24,1.23,1.06,0.98,ACWI
ACWV,Global Large-Stock Blend,iShares,Exchange Traded Fund,0.002,0.25,58083.27,0.0008,0.9992,0.0,0.0,0.0,0.0,0.05303,0.42103,0.63282,0.08764,,,,,,,,,,,,,,0.0,0.0043,0.0584,0.0164,0.113800004,0.1926,0.13270001,0.16,0.0723,0.0829,0.0253,0.14130001,RSG,CSCO,ROP,MSI,COR,TMUS,MCK,DUK,DTE.DE,JNJ,1.37,1.34,1.3,1.2,1.2,1.19,1.18,1.17,1.14,1.14,ACWV
ACWX,Foreign Large Blend,iShares,Exchange Traded Fund,0.0032,0.06,56652.3,0.0005,0.9975,0.0,0.0002,0.0,0.0018000001,0.06186,0.53251,0.6121,0.10092,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,0.0998,0.0616,0.0686,0.1351,0.0652,0.2459,0.03,0.1467,0.046,0.0833,2330.TW,0700.HK,SAP.DE,ASML.AS,NESN.SW,9988.HK,ROG.SW,AZN.L,NOVO-B.CO,NOVN.SW,2.72,1.41,1.08,1.0,0.96,0.86,0.78,0.76,0.76,0.75,ACWX
ADBG,Trading--Leveraged Equity,Themes ETF Trust,Exchange Traded Fund,0.0075,0.0,0.0,-0.9924,1.9924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,FXFXX,,,,,,,,,,3.48,,,,,,,,,,ADBG
ADFI,Intermediate Core-Plus Bond,Anfield,Exchange Traded Fund,0.0171,0.11,0.0,0.0104,0.0,0.9895,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,,,4.39,9.41,,0.0398,0.5662,0.1088,0.083900005,0.0008,0.025899999,0.1681,0.0064999997,0.3803,0.0,0.0,0.0,0.0,0.0367,0.9633,0.0,0.0,0.0,0.0,0.0,GOVT,LQD,MBB,IEF,JAAA,JBBB,JNK,,,,24.53,17.83,16.88,13.83,10.1,9.93,6.76,,,,ADFI
ADIV,Pacific/Asia ex-Japan Stk,SmartETFs,Exchange Traded Fund,0.0078,0.1884,20323.96,0.006,0.994,0.0,0.0,0.0,0.0,0.08604,0.80576,0.68521,0.0865,,,,,,,,,,,,,,0.0,0.105399996,0.1571,0.0,0.056700002,0.2166,0.0298,0.32840002,0.0249,0.024,0.0,0.0572,03968,2383.TW,01398,D05.SI,2388.HK,00939,AVGO,NTES,02318,TSM,3.72,3.65,3.19,3.18,3.17,3.09,3.04,2.96,2.96,2.95,ADIV
ADME,Equity Hedged,APTUS ETFs,Exchange Traded Fund,0.007900001,0.2,422577.72,-0.0004,1.0004001,0.0,0.0,0.0,0.0,0.04016,0.18995,0.24653,0.05159,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.1047,0.0179,0.059699997,0.3384,0.0954,0.136,0.0235,0.077800006,0.0293,0.0959,MSFT,NVDA,AAPL,AMZN,GOOG,META,AVGO,V,TSLA,BRK-B,6.82,6.59,6.01,3.85,3.62,2.83,2.64,2.16,1.94,1.88,ADME
ADPV,Mid-Cap Blend,Adaptive ETF,Exchange Traded Fund,0.01,1.96,16653.58,0.013200001,0.9868,0.0,0.0,0.0,0.0,0.04906,0.36435,0.58882,0.10183,,,,,,,,,,,,,,0.0,0.0,0.1251,0.0,0.081099994,0.15560001,0.078200005,0.2005,0.16309999,0.077199996,0.080699995,0.0385,AS,HOOD,PLTR,UGI,NI,PPC,T,KMI,PPL,CNP,4.68,4.29,4.08,4.07,4.05,4.05,4.02,4.0,3.99,3.98,ADPV
